id,priority,title,input_location,observation,repair,sources
REV2-01,P0,LUW-Regel verallgemeinert Transaktionsgrenzen falsch,v2 §7.3 R25; CC-026/027; CC-055/056,"R25 bündelt SAP-LUW, Datenbank-LUW und Update-Ausführung. CALL TRANSACTION ohne USING beendet laut Keyworddokumentation nicht allein die DB-LUW. Der gleiche pauschale implizite-Commit-Text steht in CC-056.","R25 in getrennte Zustands-/Ereignisregeln für DB-Transaktion, SAP-LUW, Update-Registrierung, Dispatch, lokale/V1/V2-Synchronisation und Nachweis zerlegen. Varianten und Laufzeitkontext benennen.","S05,S06,S07,S08,S09,S24"
REV2-02,P0,Hostmarker sind kein pauschaler D-Beweis,"v2 §7.3 R32; CC-053-F01/F02, source.abap:1,4,8",FORM-Name und Variable VBAK beweisen weder MV45AFZZ als Repositoryidentität noch Modifikation. Allgemeine SAP-Definition umfasst auch nominierte klassische Userexits/BAdIs unter B.,Marker als Hypothese ausgeben; Repository-/Enhancementmechanismus als getrennten Kontextbeleg verlangen. Konkretes Include nicht ohne Beleg von D auf B umetikettieren.,"S01,S20,S25"
REV2-03,P0,Hypothetisches D wird als known_worst ausgegeben,"v2 §7.3 R26; CC-037-F01, CC-038-F01",Die Regel setzt D für dynamisches FROM/WHERE/DML. In CC-038 ist aber keine konkrete SAP-Kerntabelle als erreichbares Ziel belegt. Ein dynamisches WHERE lässt ein statisches FROM bekannt.,known_worst nur über nachgewiesene Elemente im benannten Scope; unresolved_targets und potential_worst getrennt. Strukturelle Zielverträglichkeit und Kontext beachten.,S01
REV2-04,P0,CC-034 behauptet garantierten Kundenscope trotz Injektion,CC-034-B02 und F03; source.abap:11–15,Ungeprüfte Eingabe wird in SQL eingesetzt. B02 formuliert dennoch eine garantierte Änderung des angegebenen Kunden im aktuellen Mandanten. Ein lokales SQL-Gegenmodell kann den nachgestellten Filter mit einer kurzen Eingabe entfernen.,"B02 zu Updateversuch und beabsichtigtem, nicht garantiertem Filter ändern. Effektive Zielmenge als eingabeabhängig markieren; gebundene Parameter als Gegenfall.","S10,S11"
REV2-05,P0,R13a übersieht Ausführung innerhalb eines Templates,v2 §7.2 R13a; Gegenbeispiel CE-01,Eingebettete funktionale Methodenaufrufe werden beim Aufbau eines Templates ausgewertet. Ein späterer SQL-/Code-Konsument ist dafür nicht notwendig.,Inert sind Textsegmente/Kommentare. Eingebettete ABAP-Ausdrücke rekursiv auswerten; erst danach spätere Fremdsprach-/SQL-Konsumenten analysieren.,S12
REV2-06,P1,Opake Grenze wird mit Ende des Aufrufers verwechselt,v2 §7.3 R34; CC-056 source.abap:9–12,Pauschales Skelettende an Systemgrenze kollidiert mit modellierbarer AND-RETURN-Fortsetzung. CC-056 zeichnet die Rückkehr selbst richtig; der allgemeine Wortlaut ist zu weit.,"Unbekannte Innenlogik begrenzen, normale Caller-Fortsetzung und alternative nicht normale Ausgänge getrennt modellieren.","S06,S07"
REV2-07,P1,"Security-Achse richtig, Einzelheuristiken zu absolut",v2 §7.3 R28; Gegenbeispiele CE-03/04; CC-034/035 und Beobachtung CC-059,"CLIENT SPECIFIED ist nicht gleich tatsächlich mandantenübergreifende Ergebnismenge. Gesicherter Rückgabecode kann später geprüft werden. Gebundene Eingabe bleibt Datenwert. LOCAL MODE im eigenen Behavior ist häufig explizites Frameworkmuster, nicht allein eine Schwachstelle.","Beobachtung, Datenfluss, Schutzmaßnahme, Befundschwere und Policyentscheidung trennen. Sicherheitsentscheidung nicht als technischen Nachfolger kodieren.","S10,S11,S14,S17,S18"
REV2-08,P1,C1-Bewertung braucht klare Komponenten- und Gesamtscopes,v2 R30; CC-060 Profilmatrix und B02,Ein gültiger C1-Wrapper kann einen Cloud-Konsumenten ermöglichen; vollständige Freigabemetadaten fehlen als Nachweis. A beim Konsumenten und C im transitiven Zwei-Dateien-Scope sind nur als ausdrücklich verschiedene Sichten konsistent.,"component_contract_level und extension_level mit scope_members, release_state, contract, usage_visibility und Objektsprachversionen erfassen. C-Unterbau sichtbar erhalten.","S01,S02,S04"
REV2-09,P1,Kunde unbekannt ist nicht dasselbe wie Name initial,CC-060 consumer:11–16; wrapper:10–16,"Der Wrapper liefert einen Namen oder initialen String, keinen expliziten Existenzindikator. Ein vorhandener Datensatz mit initialem Namen ist durch die beschriebenen Eingaben nicht ausgeschlossen.","B02 auf Name-nicht-initial beschränken. Ein explizites found-Kennzeichen wäre eine fachliche Änderung, kein stiller Refactor.",Korpusquellen; lokales Gegenmodell
REV2-10,P1,CC-023-Korrektur nicht konsolidiert; ALPHA-Satz weiter zu weit,v2 §11.4 und CC-023-B02; CC-057/060 Kontext,Der alte unbedingte Änderungssatz bleibt im Fallkörper. Der neue Satz „ohne führende Nullen kein Treffer“ gilt nicht für jeden zulässigen alphanumerischen Schlüssel.,"Eine kanonische B02-Fassung; explizite numerische Testdaten für Nullauffüllung, zusätzlicher alphanumerischer Gegenfall.",S15
REV2-11,P1,Reportende ist nicht identisch mit ROLLBACK,CC-027 offene Prüferfragen; source.abap:5–10,Keine explizite Updateausführung im Slice ist richtig. Ende einer internen Sitzung und Löschen der Registrierungen sind aber nicht dieselbe Operation. SUBMIT AND RETURN hat einen anderen SAP-LUW-Kontext als normale externe Prozeduren.,"registration_state, dispatch_state und business_persistence getrennt; Ausführungs-/Sessionkontext fixieren.","S07,S09"
