rule,input_version,authority,verdict,reason,source_ids,case_ids
R01,1.0.0,sap_interpretation,hält nur unter Bedingung,"C nur für tatsächlich internes, nicht anders nominiertes Objekt und unter dem ausdrücklich stipulierten Profil. Katalog- und releaseübergreifende Abwesenheit ist nicht aus einer einzelnen Suchfehlanzeige beweisbar.","S01,S19,S20","CC-001,CC-002,CC-007,CC-008,CC-057"
R02,1.0.0,sap_interpretation,hält,Nicht unterstütztes direktes SAP-Kerntabellenschreiben bleibt D; ADBC oder Native SQL ändern den Effekt nicht. Ein Lesenachfolger ist keine Schreib-API.,"S01,S10,S11","CC-023,CC-034,CC-035"
R03,1.0.0,sap_interpretation,hält nur unter Bedingung,"B im erklärten klassischen Bestandsscope, wenn die gesamte bewertete Abhängigkeits- und Technologiemenge geschlossen und zulässig ist. Nicht von einer sichtbaren eigenen Klasse auf eine unbekannte Implementierung schließen.","S01,S02","CC-003,CC-026,CC-060"
R04,1.0.0,sap_interpretation,hält,Getrennte Classic-/Cloud-Betrachtung ist im dokumentierten Overlap richtig. Beide Metadatenfelder erhalten; nicht in ein einziges Release-Label kollabieren.,S03,CC-004
R05,1.0.0,sap_interpretation,hält nur unter Bedingung,Der dokumentierte Bestands-/Deprecated-Kontext muss im Regelkopf benannt werden. Die bloße Zahl der Nachfolger legt kein Level fest; R05 ist kein genereller Ersatz für die Released-Lese-Regel R03.,"S01,S03",CC-058
R06,1.0.0,sap_semantics,hält,Statische Angabe per Literal/Konstante und syntaktisch dynamische Variable getrennt von der Datenflussauflösung führen. Keine Änderung gegenüber dem eingegrenzten CALL-FUNCTION-Vertrag.,S26,"CC-005,CC-006,CC-011,CC-044"
R07,1.0.0,sap_semantics,hält nur unter Bedingung,"Zielmenge nur bei vollständigem, pfad- und aliasbewusstem Datenfluss schließen. Vorbelegung, Namensmuster und nicht vollständig bekannte Aufrufer sind keine Singleton-Garantie.","S26,S27","CC-036,CC-037,CC-038,CC-041"
R08,1.0.0,sap_semantics,hält,"Kardinalität, Projektion und Prädikat-/NULL-Semantik erhalten. Die v2-Präzisierung des konkreten CC-008-Prädikats ist richtig; WHERE-Position allein reicht nicht.",S23,"CC-007,CC-008"
R09,1.0.0 plus v2-Präzisierung,sap_semantics,hält nur unter Bedingung,"FAE-Leerfortsetzungsschutz und fachlich sanfter Leerpfad trennen. ASSERT ohne ID kann die Fortsetzung wirksam verhindern, aber durch Dump. Die v2-Aussage, ASSERT sei überhaupt kein Guard, gilt nicht als allgemeine Semantik.","S13,S23",CC-002
R10,1.0.0,sap_interpretation,hält,D für als implizite SAP-Erweiterung belegten Eingriff. Nicht auf jeden klassischen Exit oder Enhancement-Marker ausweiten; dafür trägt R10 keine Aussage.,S01,"CC-010,CC-053"
R11,1.0.0,sap_interpretation,hält,"Dynpro allein begründet kein D. Ereignis-, Screen- und GUI-Metadaten sind für Rekonstruktion notwendig; Cloud-Rehosting und klassisches Level getrennt halten.",S01,"CC-013,CC-014"
R12,1.0.0,corpus_policy,hält nur unter Bedingung,"Unknown ist für den fehlenden konkreten Freigabebeleg zulässig. Ist eine Technologie oder ein Objekt ausdrücklich unsupported/noAPI, darf generelle Unkenntnis diese negative Evidenz nicht verdrängen. Konvention, keine pauschale SAP-Kernelklassifikation.",S01,CC-015
R13a,2.0.0,sap_semantics,hält nicht,Der Ausschluss ganzer Stringtemplates ohne späteren Konsumenten ist zu weit. Eingebettete funktionale Methodenaufrufe werden bereits bei Auswertung des Templates ausgeführt und können Seiteneffekte haben. Nur Textsegmente sind inert.,S12,"CC-016,CC-034"
R13b,2.0.0,sap_semantics,hält nur unter Bedingung,"Konsumentenbezogene Interpretation ist richtig. Quellsprachenausdrücke, SQL-Text, Identifier und gebundene Parameter müssen getrennt bleiben. Ein Literal mit beliebigem Konsumenten ist nicht automatisch ausführbarer Code oder Injektion.","S10,S11,S12","CC-034,CC-035,CC-039,CC-054"
R14,1.0.0,sap_semantics,hält,"Dispatch, super-Aufruf und fehlende Vorfahren getrennt zu führen bleibt richtig. Diese Regel wird als semantisches Prinzip bestätigt, nicht als Prüfung jeder OO-Fixture-Implementierung.",S27,"CC-017,CC-018,CC-041"
R15,1.0.0,sap_interpretation,hält nur unter Bedingung,"RTTS-Freigabe, dynamisch bezeichnete Typen und Klassensprache jeweils prüfen. Freigabe eines Deskriptors ist keine Freigabe jedes damit erreichbaren Typs.","S02,S19","CC-019,CC-020"
R16,1.0.0,corpus_policy,hält,"Fehlende Customer-/Partnerimplementierung führt zu Unvollständigkeit, nicht zu erfundenem SAP-internem C. Bekannte Evidenz und Gesamturteil getrennt zu halten ist die richtige Korpuskonvention.",S01,"CC-012,CC-018,CC-021,CC-022,CC-026,CC-027"
R17,1.0.0,sap_metadata,hält,"TADIR- und spezifische Objektidentität sowie Nachfolgerliste erhalten; unbekannt, leer und nicht erhoben unterscheiden. Ein Katalogverweis ist kein Beleg für Drop-in-Kompatibilität.","S19,S21","CC-023,CC-034,CC-035,CC-057,CC-058"
R18,1.0.0,corpus_policy,hält,"Fachsätze müssen vom angegebenen Scope und vollständigen Guard-Kontext getragen werden. Statusausgabe ist nicht gleich Geschäftsereignis; die Regel ist richtig, wird aber in mehreren v2-Sollsätzen verletzt.","S09,S10","CC-023,CC-026,CC-027,CC-028,CC-034,CC-035,CC-060"
R19,1.0.0,corpus_policy,hält nur unter Bedingung,"Kontroll- und Abbruchpfade sind richtig gefordert. Abstraktionsgrenze, ausgelassene allgemeine Exceptions und Rückkehr aus opaken Aufrufen müssen explizit sein; nicht jede ausgelassene Sprachoperation ist ein Fehler.","S06,S07","CC-026,CC-034,CC-035,CC-060"
R20,1.0.0,corpus_policy,hält,Eigene Persistenz begründet keine automatische CAP-/BTP-Pflicht. Dies ist eine sinnvolle Architekturkonvention; konkrete Zielplattformfähigkeit ist separat nachzuweisen.,S02,"CC-024,CC-038"
R21,1.0.0,corpus_policy,hält,Nicht gemessene Stunden bleiben Annahmen; Istwerte null. Der Satz bleibt unabhängig vom technischen Review gültig und liefert ausdrücklich keinen Aufwand-Accuracy-Score.,Korpuskonvention,CC-001–CC-060
